brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
AOC,I2369VM,23.0,1920 x 1080,60,6,IPS,16:9,
ViewSonic,VX2778-smhd,27.0,2560 x 1440,60,5,PLS,16:9,299.99
Philips,328E9FJAB,31.5,2560 x 1440,75,4,VA,16:9,
HP,EliteDisplay E273m,27.0,1920 x 1080,60,,IPS,16:9,
Asus,VB178T,17.0,1280 x 1024,,5,,5:4,110.00
Asus,VH242H,23.6,1920 x 1080,,5,TN,16:9,
BenQ,G2222HDL,21.5,1920 x 1080,,5,TN,16:9,
AOC,E2460SD,24.0,1920 x 1080,60,5,TN,16:9,
Samsung,S24D390HL,23.6,1920 x 1080,60,5,PLS,16:9,
Samsung,S27D390H,27.0,1920 x 1080,60,5,TN,16:9,
Samsung,S27D590P,27.0,1920 x 1080,60,5,TN,16:9,
Samsung,P2370HD,23.0,1920 x 1080,60,5,,16:9,
Asus,VX239H,23.0,1920 x 1080,60,5,IPS,16:9,
Acer,KN242HYL,23.8,1920 x 1080,60,4,IPS,16:9,
LG,24MP48HQ-P,23.8,1920 x 1080,60,5,IPS,16:9,
Samsung,BX2431,24.0,1920 x 1080,60,2,TN,16:9,
iiyama,Prolite E2283HS-B1,22.0,1920 x 1080,60,1,TN,16:9,
HP,27,27.0,1920 x 1080,60,5,VA,16:9,
Dell,ST2410,24.0,1920 x 1080,60,5,TN,16:9,
Planar,PLN2400,23.6,1920 x 1080,60,6,IPS,16:9,108.52
ViewSonic,VA2252Sm,21.5,1920 x 1080,60,7,VA,16:9,109.99
BenQ,BL2480T,23.8,1920 x 1080,60,5,IPS,16:9,199.99
AOC,AG271UG,27.0,3840 x 2160,60,4,IPS,16:9,
V7,L215E-2N,21.5,1920 x 1080,,6,TN,16:9,93.50
Acer,G236HLBbd,23.0,1920 x 1080,60,5,TN,16:9,309.04
AOC,E2470SWDA,23.6,1920 x 1080,60,5,TN,16:9,182.95
Samsung,S24E200BL,23.6,1920 x 1080,60,5,TN,16:9,137.99
ViewSonic,VX2376-smhd,23.0,1920 x 1080,60,7,IPS,16:9,253.00
Lenovo,Y27g,27.0,1920 x 1080,144,7,VA,16:9,562.23
ViewEra,V151BN-B,15.0,1024 x 768,,12,,4:3,294.64
LG,24MP58VQ-P,23.8,1920 x 1080,60,5,IPS,16:9,299.99
Acer,R221Q bid,21.5,1920 x 1080,60,4,IPS,16:9,
Lenovo,D24-10,23.6,1920 x 1080,60,,TN,16:9,138.71
Acer,S231HLbid,23.0,1920 x 1080,,5,,16:9,
Asus,VW246H,24.0,1920 x 1080,,2,,16:9,
NEC,EA191M-BK,19.0,1280 x 1024,,25,,5:4,
HP,LA2306x,23.0,1920 x 1080,,5,,16:9,
BenQ,GW2750HM,27.0,1920 x 1080,,4,,16:9,
Samsung,S19B150N,18.5,1366 x 768,60,5,TN,16:9,
HP,ZR2440w,24.0,1920 x 1200,60,6,IPS,16:10,
Asus,PB238Q,23.0,1920 x 1080,,6,IPS,16:9,481.03
QNIX,QX2710 Matte,27.0,2560 x 1440,60,6,PLS,16:9,
Asus,VN289H,28.0,1920 x 1080,60,5,VA,16:9,
Samsung,S24E510C,23.6,1920 x 1080,60,4,VA,16:9,420.48
Samsung,S27E591C,27.0,1920 x 1080,60,4,VA,16:9,
Seiki,SM40UNP,40.0,3840 x 2160,60,8,VA,16:9,
VIOTEK,GN32C,32.0,1920 x 1080,144,4,VA,16:9,
Dell,S2418NX,24.0,1920 x 1080,60,6,IPS,16:9,
AOC,24V2H,23.8,1920 x 1080,75,5,IPS,16:9,
Acer,KA270H Dbi,27.0,1920 x 1080,75,4,TN,16:9,
AOC,Q2781PQ,27.0,2560 x 1440,60,4,IPS,16:9,380.85
Acer,B326HK YMJDPPHZ,32.0,3840 x 2160,60,6,IPS,16:9,555.83
Dell,P1917S,19.0,1280 x 1024,60,6,IPS,5:4,194.00
HP,P244,23.8,1920 x 1080,60,,IPS,16:9,169.00
Dell,U2711,27.0,2560 x 1440,60,6,IPS,16:9,899.96
Acer,S235HLbii,23.0,1920 x 1080,60,5,TN,16:9,149.99
Dell,P2219HE,22.0,1920 x 1080,60,5,IPS,16:9,149.99
Acer,V226WLbd,22.0,1680 x 1050,60,5,TN,16:10,125.98
Asus,VB199T-P,19.0,1280 x 1024,60,5,IPS,5:4,129.00
Samsung,S24E450DL,23.6,1920 x 1080,60,5,TN,16:9,159.99
BenQ,GW2255,21.5,1920 x 1080,60,6,,16:9,338.99
Dell,S2316M,23.0,1920 x 1080,60,6,IPS,16:9,329.00
LG,23MP48HQ-P,23.0,1920 x 1080,60,5,IPS,16:9,
Dell,P2016,19.5,1440 x 900,60,6,IPS,16:10,199.99
BenQ,GW2455H,23.6,1920 x 1080,60,25,VA,16:9,343.99
Acer,B246HL,24.0,1920 x 1080,60,5,TN,16:9,139.99
BenQ,XR3501,35.0,2560 x 1080,144,4,VA,21:9,
Dell,S2216M,21.5,1920 x 1080,60,6,IPS,16:9,349.99
LG,32UD89-W,31.5,3840 x 2160,60,5,IPS,16:9,
HP,2511x,25.0,1920 x 1080,,5,TN,16:9,
Dell,ST2421L,24.0,1920 x 1080,,5,TN,16:9,
Dell,P2012H,20.0,1600 x 900,60,5,TN,16:9,179.00
Dell,U2413,24.0,1920 x 1200,60,6,IPS,16:10,
Philips,246V5LHAB/27,24.0,1920 x 1080,60,5,TN,16:9,
LG,34UM95,34.0,3440 x 1440,60,5,IPS,21:9,
LG,34UM94-P,34.0,3440 x 1440,60,5,IPS,21:9,
LG,34UM95-P,34.0,3440 x 1440,60,5,IPS,21:9,
LG,34UC87M-B,34.0,3440 x 1440,60,5,IPS,21:9,
Asus,PB279Q,27.0,3840 x 2160,60,5,IPS,16:9,
Asus,MX259H,25.0,1920 x 1080,60,5,IPS,16:9,
LG,31MU97C-B,31.0,4096 x 2160,60,5,IPS,256:135,
Nixeus,NX-VUE24A,24.0,1920 x 1080,144,1,TN,16:9,
Samsung,S24E370DL,23.6,1920 x 1080,60,4,PLS,16:9,
LG,22MP58VQ-P,21.5,1920 x 1080,60,5,IPS,16:9,
VIOTEK,NB32C,32.0,1920 x 1080,60,,,16:9,
BenQ,XL2735,27.0,2560 x 1440,144,1,TN,16:9,
HP,W1707,17.0,1440 x 900,60,8,TN,16:10,
Asus,ROG Swift PG258Q Call of Duty: Black Ops 4 Special Edition,24.5,1920 x 1080,240,1,TN,16:9,
LG,24MK600M-W,23.8,1920 x 1080,75,5,IPS,16:9,
BenQ,BL2780T,27.0,1920 x 1080,60,5,IPS,16:9,249.99
Acer,B276HK YMJDPPRZ,27.0,3840 x 2160,60,6,IPS,16:9,381.87
Asus,VZ279H,27.0,1920 x 1080,60,5,IPS,16:9,499.00
Lenovo,LI2364d,23.0,1920 x 1080,75,7,IPS,16:9,
Asus,PB328Q,32.0,2560 x 1440,75,4,VA,16:9,
AOC,AG272FCX6,27.0,1920 x 1080,144,1,VA,16:9,
Acer,KA200HQ Bbi,19.5,1600 x 900,60,5,TN,16:9,
Asus,VH197D,18.5,1366 x 768,60,5,,16:9,100.00
Asus,VW22AT-CSM,22.0,1680 x 1050,,5,TN,16:10,115.05
Asus,MX299Q,29.0,2560 x 1080,,5,IPS,21:9,
AOC,E2425SWD,24.0,1920 x 1080,60,5,TN,16:9,
Dell,P2014H,19.5,1600 x 900,60,8,IPS,16:9,179.00
HP,Z23n G2,23.0,1920 x 1080,60,5,IPS,16:9,309.00
NEC,"NEC Display MultiSync EA231WU-H-BK 22.5"" WLED LCD Monitor - 16:10 - 5 ms",22.5,1920 x 1200,60,5,IPS,16:10,249.00
Samsung,2443BWT-1,24.0,1920 x 1200,,5,,16:10,
Dell,U3011,30.0,2560 x 1600,60,7,IPS,16:10,
Dell,E2311H,23.0,1920 x 1080,,5,TN,16:9,
Samsung,S20B300B,20.0,1600 x 900,60,5,TN,16:9,
Samsung,S22B300B,21.5,1920 x 1080,60,5,TN,16:9,
Samsung,T24B350ND,24.0,1920 x 1080,,5,TN,16:9,
Dell,U2713H,27.0,2560 x 1440,60,6,IPS,16:9,
AOC,i2769Vm,27.0,1920 x 1080,60,5,IPS,16:9,
Asus,VX229H,21.5,1920 x 1080,60,5,TN,16:9,
AOC,E2060SWDA,19.5,1600 x 900,60,5,,16:9,
Samsung,T22C350ND,21.5,1920 x 1080,60,2,TN,16:9,
LG,31MU97,31.0,4096 x 2160,60,5,IPS,256:135,
Acer,XB270HA,27.0,1920 x 1080,144,1,TN,16:9,
Samsung,S24E390HL,23.6,1920 x 1080,60,4,PLS,16:9,
ViewSonic,VX2475Smhl-4K,24.0,3840 x 2160,60,3,PLS,16:9,
LG,29UM57-P,29.0,2560 x 1080,60,5,IPS,21:9,
Acer,K272HUL,27.0,2560 x 1440,75,6,TN,16:9,
Philips,BDM4065UC,40.0,3840 x 2160,60,3,VA,16:9,
Acer,XZ350CU bmijphz,35.0,2560 x 1080,144,4,VA,21:9,
LG,23MP68VQ-P,23.0,1920 x 1080,60,,IPS,16:9,
VIOTEK,GN32Q,32.0,2560 x 1440,144,,VA,16:9,
Acer,S242HL,24.0,1920 x 1080,60,1,TN,16:9,
LG,27MU88-W,27.0,3840 x 2160,60,5,IPS,16:9,
iiyama,Prolite E2483HS-B1,24.0,1920 x 1080,60,1,TN,16:9,
HP,T3U85AA,20.7,1920 x 1080,60,5,TN,16:9,
HP,V194,18.5,1366 x 768,60,5,TN,16:9,
HP,P22h G4,21.5,1920 x 1080,60,5,IPS,16:9,114.00
HP,P24h G4,23.8,1920 x 1080,60,14,IPS,16:9,129.00
LG,34CB88-P,34.0,3440 x 1440,75,5,IPS,21:9,1717.43
Acer,B226HQLAymdr,21.5,1920 x 1080,60,8,TN,16:9,149.94
AOC,AG322FCX,31.5,1920 x 1080,144,4,VA,16:9,
Planar,PLL2250MW,21.5,1920 x 1080,60,12.5,IPS,16:9,106.40
ViewSonic,VP2785-2K,27.0,2560 x 1440,60,5,IPS,16:9,499.99
Philips,241B8QJEB,23.8,1920 x 1080,60,5,IPS,16:9,163.93
HP,EliteDisplay E202,20.0,1600 x 900,60,,IPS,16:9,134.99
Acer,K272HUL Ebmidpx,27.0,2560 x 1440,60,1,TN,16:9,
LG,34UM88C-P,34.0,3440 x 1440,60,5,IPS,21:9,1280.35
Acer,ET241Y Abmir,23.8,1920 x 1080,60,4,IPS,16:9,
Dell,E170S,17.0,1280 x 1024,,5,,5:4,149.99
ViewSonic,VA2246M-LED,22.0,1920 x 1080,60,5,TN,16:9,
LG,29UM65-P,29.0,2560 x 1080,60,5,IPS,21:9,700.00
Acer,B326HUL ymiidphz,32.0,2560 x 1440,60,6,VA,16:9,509.39
AOC,I2280SWD,21.5,1920 x 1080,60,6,IPS,16:9,
Lenovo,P24H-20,23.8,2560 x 1440,75,8,IPS,16:9,
Samsung,S24A350H,24.0,1920 x 1080,,2,,16:9,
Samsung,B2230HD,22.0,1920 x 1080,,5,,16:9,
Dell,E2011H,20.0,1600 x 900,,5,,16:9,
Toshiba,PA3769U-1LCH,23.6,1920 x 1080,,5,,16:9,
Asus,VH232H,23.0,1920 x 1080,,5,,16:9,
HP,2011x (XP597AA#ABA),20.0,1600 x 900,,5,TN,16:9,
BenQ,GW2450,24.0,1920 x 1080,,4,,16:9,
LG,W2240T-PN,22.0,1920 x 1080,,5,,16:9,
Acer,G245HQLbd,23.6,1920 x 1080,60,5,TN,16:9,
Acer,G215HVBbd,21.5,1920 x 1080,60,5,TN,16:9,
LG,23EA63V-P,23.0,1920 x 1080,,5,IPS,16:9,
LG,24EA53V-P,23.8,1920 x 1080,60,5,IPS,16:9,
Gateway,FHX2303LAbd,23.0,1920 x 1080,60,5,TN,16:9,
Dell,P2412H,24.0,1920 x 1080,60,5,TN,16:9,
Hannspree,HL205ABB,19.5,1600 x 900,60,5,TN,16:9,130.47
HP,2159m,21.5,1920 x 1080,60,5,,16:9,
ViewSonic,VP2772,27.0,2560 x 1440,60,12,IPS,16:9,
Acer,G227HQLbi,21.5,1920 x 1080,60,6,IPS,16:9,
LG,23MP55HQ-P,23.0,1920 x 1080,60,5,IPS,16:9,
AOC,I2757FH,27.0,1920 x 1080,60,5,IPS,16:9,
Acer,G276HL Gbmid,27.0,1920 x 1080,60,6,TN,16:9,
Acer,XB280HK,28.0,3840 x 2160,60,1,TN,16:9,
Lenovo,LI2821,28.0,3840 x 2160,60,5,TN,16:9,
AOC,E2476VWM6,23.6,1920 x 1080,60,1,TN,16:9,
Samsung,S24E650BW,24.0,1920 x 1200,60,4,PLS,16:10,
Philips,272G5DYEB/27,27.0,1920 x 1080,144,1,TN,16:9,
LG,34UM68,34.0,2560 x 1080,75,5,IPS,21:9,
Acer,G247HYU,23.8,2560 x 1440,60,4,IPS,16:9,
LG,27MP68VQ-P,27.0,1920 x 1080,60,5,IPS,16:9,
iiyama,Prolite XB2783HSU-B1DP,27.0,1920 x 1080,60,4,VA,16:9,
Philips,349X7FJEW/27,34.0,3440 x 1440,60,4,VA,21:9,
Acer,HA230 Abi,23.0,1920 x 1080,60,4,IPS,16:9,
Acer,XZ271U Abmiiphzx,27.0,2560 x 1440,144,,TN,16:9,
V7,L27ADS-2N,27.0,1920 x 1080,60,6,IPS,16:9,153.98
Acer,V276HL,27.0,1920 x 1080,60,5,VA,16:9,246.44
NEC,PA243W-BK,24.1,1920 x 1200,60,,IPS,16:10,699.99
Acer,V247Y bi,23.8,1920 x 1080,75,4,IPS,16:9,141.98
Lenovo,LT1953,19.0,1440 x 900,60,5,TN,16:10,104.99
Acer,V246HLbmdp,24.0,1920 x 1080,60,5,TN,16:9,163.89
HP,EliteDisplay S270N,27.0,3840 x 2160,60,,IPS,16:9,539.00
HP,Z22n G2,21.5,1920 x 1080,60,5.4,IPS,16:9,165.00
Asus,VH238H,23.0,1920 x 1080,,2,,16:9,372.53
Dell,P1914S,19.0,1280 x 1024,60,8,IPS,5:4,279.99
Asus,ASUSPRO C422AQH,21.5,1920 x 1080,60,5,IPS,16:9,323.99
HP,P274,27.0,1920 x 1080,60,,IPS,16:9,229.00
ViewSonic,VG2755-2K,27.0,2560 x 1440,60,5,IPS,16:9,349.99
ViewSonic,XG2700-4K,27.0,3840 x 2160,60,5,IPS,16:9,
LG,22MB35PY-I,21.5,1920 x 1080,60,5,IPS,16:9,145.10
AOC,e950Sw,19.0,1366 x 768,60,5,,16:9,251.59
Dell,S2240M,21.5,1920 x 1080,60,7,IPS,16:9,299.00
HP,C9F26AA#ABA,20.0,1600 x 900,,5,TN,16:9,
Dell,P2416D,23.8,2560 x 1440,60,6,IPS,16:9,
Dell,E1911,19.0,1440 x 900,60,5,,16:10,140.77
LG,32UK950-W,32.0,3840 x 2160,60,5,IPS,16:9,
Acer,S211HLbd,21.5,1920 x 1080,,5,,16:9,
Asus,VH222H-P,21.5,1920 x 1080,,5,,16:9,
HP,LA2405wg,24.0,1920 x 1200,,5,,16:10,
LG,W1942TQ-BF,19.0,1440 x 900,,5,,16:10,
Asus,PA248Q,24.1,1920 x 1200,,6,IPS,16:10,
Samsung,S23B300B,23.0,1920 x 1080,60,5,TN,16:9,
AOC,e2250Swdn,22.0,1920 x 1080,60,5,,16:9,
LG,E2442V-BN,24.0,1920 x 1080,,5,TN,16:9,
HP,W2371d,23.0,1920 x 1080,60,5,TN,16:9,
Dell,S2440L,24.0,1920 x 1080,60,6,,16:9,
Dell,U2913WM,29.0,2560 x 1080,60,8,IPS,21:9,
LG,20EN33TS-B,19.5,1600 x 900,,5,,16:9,
LG,22EN43T-B,21.5,1920 x 1080,,5,TN,16:9,
LG,22EA53VQ,21.5,1920 x 1080,60,5,IPS,16:9,
Dell,P2714H,27.0,1920 x 1080,60,8,IPS,16:9,
AOC,Q2770PQU,27.0,2560 x 1440,60,5,IPS,16:9,
Dell,P1913,19.0,1440 x 900,60,5,TN,16:10,
Lenovo,ThinkVision E2223s,21.5,1920 x 1080,75,5,TN,16:9,
BenQ,XL2420G,24.0,1920 x 1080,144,1,TN,16:9,
Acer,G247HL,24.0,1920 x 1080,60,6,TN,16:9,
LG,22MP57HQ,22.0,1920 x 1080,60,5,IPS,16:9,
LG,34UM67,34.0,2560 x 1080,60,5,IPS,21:9,
Wasabi Mango,UHD550REAL4KHDMI2.0,55.0,3840 x 2160,60,5,IPS,16:9,
Acer,Z271,27.0,1920 x 1080,144,4,VA,16:9,
iiyama,Prolite X2283HSU-B1DP,21.5,1920 x 1080,60,5,VA,16:9,187.49
iiyama,Prolite XB2485WSU-B3,24.1,1920 x 1200,60,4,IPS,16:10,
Dell,S2419HN,23.8,1920 x 1080,60,5,IPS,16:9,
ViewSonic,XG2730,27.0,2560 x 1440,144,1,TN,16:9,
VIOTEK,GN35DR,35.0,2560 x 1080,144,4,VA,21:9,
Philips,243S5LDAB,23.6,1920 x 1080,60,1,TN,16:9,
ViewSonic,VG2455-2K,23.8,2560 x 1440,60,15,IPS,16:9,279.99
LG,34BK650-W,34.0,2560 x 1080,60,5,IPS,21:9,336.98
Philips,328B6QJEB,31.5,2560 x 1440,60,5,IPS,16:9,331.49
HP,P224,21.5,1920 x 1080,60,,IPS,16:9,124.99
LG,29UB55-B,29.0,2560 x 1080,60,,IPS,21:9,
BenQ,BL2581T,25.0,1920 x 1200,60,5,IPS,16:10,
Asus,VS228T-P,21.5,1920 x 1080,60,5,TN,16:9,135.30
ViewSonic,VA2409,23.6,1920 x 1080,60,5,TN,16:9,108.89
HP,N223,21.5,1920 x 1080,60,5,TN,16:9,136.99
Dell,E2214H,21.5,1920 x 1080,60,5,TN,16:9,395.97
Acer,V226HQL Abmid,21.5,1920 x 1080,60,5,TN,16:9,316.27
LG,20M37D-B,19.5,1600 x 900,60,5,TN,16:9,299.00
Dell,IN1910N,18.5,1366 x 768,60,,TN,16:9,149.99
Dell,P2411H,24.0,1920 x 1080,,5,TN,16:9,
Acer,B193WGJbmdh,19.0,1440 x 900,,5,,16:10,230.00
Acer,G235HAbd,23.0,1920 x 1080,,5,,16:9,
BenQ,XL2410T,23.6,1920 x 1080,120,2,TN,16:9,
HP,2711x,27.0,1920 x 1080,,5,,16:9,699.99
Compaq,LA2205wg,22.0,1680 x 1050,,5,,16:10,
Dell,IN2030M,20.0,1600 x 900,60,5,TN,16:9,
Dell,U2212HM,21.5,1920 x 1080,60,8,IPS,16:9,
Dell,E2213,22.0,1680 x 1050,60,5,TN,16:10,
AOC,e2752Vh,27.0,1920 x 1080,60,2,,16:9,
Acer,P238HLbd,23.0,1920 x 1080,60,5,TN,16:9,
LG,IPS234V-PN,23.0,1920 x 1080,75,14,IPS,16:9,
Samsung,S23C350H,23.0,1920 x 1080,,5,TN,16:9,
BenQ,XL2420TE,24.0,1920 x 1080,144,1,TN,16:9,
Asus,PB298Q,29.0,2560 x 1080,60,5,IPS,21:9,
Philips,272G5DYEB,27.0,1920 x 1080,144,5,TN,16:9,
ViewSonic,VA951S,19.0,1280 x 1024,60,14,TN,5:4,149.99
LG,25UM57-P,25.0,2560 x 1080,60,5,IPS,21:9,
LG,29UM67P,29.0,2560 x 1080,60,5,IPS,21:9,
Acer,S200HQL GBD,19.5,1920 x 1080,60,8,VA,16:9,
Samsung,S27E390H,27.0,1920 x 1080,60,4,PLS,16:9,
Dell,E2316H,23.0,1920 x 1080,60,5,TN,16:9,
Dell,E2016H,19.5,1600 x 900,60,5,TN,16:9,119.00
LG,E2260,22.0,1920 x 1080,,,,16:9,
Nixeus,NX-EDG27,27.0,2560 x 1440,144,4,IPS,16:9,
Acer,BM320,32.0,3840 x 2160,60,5,IPS,16:9,
LG,27UD68P-B,27.0,3840 x 2160,60,5,IPS,16:9,
iiyama,Prolite X2783HSU-B1,27.0,1920 x 1080,60,4,VA,16:9,
Acer,ET430K wmiiqppx,43.0,3840 x 2160,60,5,IPS,16:9,
Monoprice,33821,32.0,2560 x 1440,144,,VA,16:9,
Eizo,FS2735,27.0,2560 x 1440,144,4,IPS,16:9,
Acer,EB243YU Abmiiiprx,23.8,2560 x 1440,75,5,IPS,16:9,
Philips,258B6QUEB,25.0,2560 x 1440,60,5,IPS,16:9,720.39
Acer,ED323QUR widpx,31.5,2560 x 1440,75,4,VA,16:9,
Samsung,LC34J791WTEXXS,34.0,3440 x 1440,100,4,VA,21:9,
Philips,274E5QHAB/75,27.0,1920 x 1080,60,5,IPS,16:9,
AOC,U3277FWQ,31.5,3840 x 2160,60,4,VA,16:9,551.00
Asus,VN279Q,27.0,1920 x 1080,,5,TN,16:9,
V7,L27HAS2K-2N,27.0,2560 x 1440,60,5,IPS,16:9,244.98
Acer,UM.CC0AA.001,34.0,3440 x 1440,75,5,IPS,21:9,709.94
iiyama,Prolite X2888HS-B2,28.0,1920 x 1080,75,5,VA,16:9,
Asus,ASUSPRO C622AQH,21.5,1920 x 1080,75,5,IPS,16:9,164.00
HP,EliteDisplay S340C,34.0,3440 x 1440,60,,IPS,21:9,670.95
ViewSonic,VA2855SMH,28.0,1920 x 1080,60,7,VA,16:9,
ViewEra,V151HV-B,15.0,1024 x 768,,12,,4:3,
Acer,G276HLDbmid,27.0,1920 x 1080,60,6,,16:9,199.99
AOC,E2470SWHE,23.6,1920 x 1080,60,5,TN,16:9,399.00
Philips,220B4LPCB,22.0,1680 x 1050,60,5,,16:10,
HP,Z24i,24.0,1920 x 1200,60,8,IPS,16:10,289.00
AOC,U2868PQU,28.0,3840 x 2160,60,1,TN,16:9,
LG,23MP57HQ-P,23.0,1920 x 1080,60,5,IPS,16:9,499.00
Acer,G247HYL bmidx,23.8,1920 x 1080,60,4,IPS,16:9,
ViewSonic,XG2701,27.0,1920 x 1080,144,1,TN,16:9,
Monoprice,131005,35.0,3440 x 1440,100,5,VA,21:9,
AOC,2236vw,22.0,1920 x 1080,60,5,,16:9,
AOC,E2243FWK,21.5,1920 x 1080,,5,,16:9,
ViewSonic,VX2453mh-LED,24.0,1920 x 1080,,2,,16:9,
Samsung,PX2370,23.0,1920 x 1080,,2,TN,16:9,
Dell,P190S,19.0,1280 x 1024,60,5,,5:4,149.00
Acer,V193WEJbd,19.0,1440 x 900,,5,,16:10,
Acer,GD235HZbid,23.6,1920 x 1080,120,2,,16:9,
HP,LA1905wg,19.0,1440 x 900,,5,,16:10,
Hannspree,HF225DPB,21.5,1920 x 1080,,5,,16:9,
Acer,G205HVbd,20.0,1600 x 900,,5,TN,16:9,
Acer,S200HLAbd,20.0,1600 x 900,,5,TN,16:9,
HP,S2331,23.0,1920 x 1080,,5,,16:9,
Samsung,S23A700D,23.0,1920 x 1080,120,2,,16:9,
Samsung,S22B350H,21.5,1920 x 1080,,2,TN,16:9,
Samsung,T22B350ND,21.5,1920 x 1080,,5,TN,16:9,
Samsung,S20B350H,20.0,1600 x 900,,2,TN,16:9,
Compaq,S1922a,18.5,1366 x 768,,5,,16:9,
LG,E2242T-BN,21.5,1920 x 1080,,5,TN,16:9,
Hannspree,HL161ABB,15.6,1366 x 768,,16,,16:9,
AOC,E2460SWD,24.0,1920 x 1080,60,5,,16:9,
Acer,S271HLCbid,27.0,1920 x 1080,60,6,,16:9,
HP,w2408,24.0,1920 x 1200,60,5,TN,16:10,
HP,25xi (C3Z97AA#ABA),25.0,1920 x 1080,60,7,IPS,16:9,
Samsung,S22C350H,21.5,1920 x 1080,,5,TN,16:9,
HP,LA2006x,20.0,1600 x 900,60,5,,16:9,
BenQ,GL2023A,19.5,1600 x 900,60,5,TN,16:9,
Planar,997-7318-00,15.0,1024 x 768,75,8,,4:3,
Samsung,S24D300HL,23.6,1920 x 1080,60,5,TN,16:9,
Asus,VS228HR,21.5,1920 x 1080,60,5,TN,16:9,
HP,EliteDisplay E221i,21.5,1920 x 1080,60,8,IPS,16:9,
Acer,G277HL bid,27.0,1920 x 1080,60,4,IPS,16:9,
Acer,CB280HK bmjdppr,28.0,3840 x 2160,60,1,TN,16:9,
HP,23xw,23.0,1920 x 1080,60,7,IPS,16:9,
AOC,U3477PQU,34.0,3440 x 1440,60,5,IPS,21:9,
ViewSonic,VG2233SMH,22.0,1920 x 1080,60,4,IPS,16:9,149.97
ViewSonic,VP2780-4K,27.0,3840 x 2160,60,5,IPS,16:9,
Alienware,AW2310,23.0,1920 x 1080,120,3,TN,16:9,
Asus,VS239HV,23.0,1920 x 1080,60,5,IPS,16:9,
HP,Z27n,27.0,2560 x 1440,60,14,IPS,16:9,
LG,27MU67,27.0,3840 x 2160,60,5,IPS,16:9,
Dell,SE2716H,27.0,1920 x 1080,60,6,VA,16:9,
Samsung,S22E450BW,22.0,1680 x 1050,60,5,TN,16:10,235.99
LG,22MP47HQ,21.5,1920 x 1080,60,5,IPS,16:9,
Philips,BDM3270QP2,32.0,2560 x 1440,60,4,VA,16:9,
Acer,XZ271,27.0,1920 x 1080,144,4,VA,16:9,
Philips,227E7QDSB/11,21.5,1920 x 1080,60,5,IPS,16:9,
Dell,S2317HWi,23.0,1920 x 1080,60,6,IPS,16:9,
BenQ,EW2770QZ,27.0,2560 x 1440,60,14,IPS,16:9,
LG,32MU99-W,31.5,3840 x 2160,60,5,IPS,16:9,
Monoprice,124658,27.0,3840 x 2160,60,,IPS,16:9,
VIOTEK,GN27C2,27.0,1920 x 1080,144,6,VA,16:9,
Acer,KG270 biix,27.0,1920 x 1080,75,1,TN,16:9,
BenQ,ZOWIE RL2455TS,24.0,1920 x 1080,75,1,TN,16:9,
Acer,VA270H,27.0,1920 x 1080,60,5,VA,16:9,
Philips,203V5LSB2,19.5,1600 x 900,60,5,TN,16:9,
Philips,328E9QJAB,31.5,1920 x 1080,75,4,VA,16:9,
Acer,BH276 Pbmiiprzx,27.0,1920 x 1080,144,1,TN,16:9,
AXM,2798,27.0,2560 x 1440,144,1,TN,16:9,
NEC,PA302W-BK,30.0,2560 x 1600,60,6,IPS,16:10,1594.99
Acer,B276HUL Cymiippprzx,27.0,2560 x 1440,60,5,IPS,16:9,323.51
ViewSonic,VX2785-2K-MHDU,27.0,2560 x 1440,60,5,IPS,16:9,289.99
Acer,B247Y Cbmipruzx,23.8,1920 x 1080,75,4,IPS,16:9,199.00
Acer,B226HQL ymdr,21.5,1920 x 1080,60,5,TN,16:9,112.47
HP,W5A12AA#ABA,27.0,3840 x 2160,60,5,,16:9,479.99
BenQ,EW277HDR,27.0,1920 x 1080,60,4,VA,16:9,
Philips,252B9,25.0,1920 x 1200,60,5,IPS,16:10,230.98
AOC,e2450Swd,23.6,1920 x 1080,60,5,,16:9,189.99
Asus,PB278QR,27.0,2560 x 1440,60,5,IPS,16:9,
HP,Z24n G2,24.0,1920 x 1200,60,,IPS,16:10,269.00
HP,EliteDisplay E243d,23.8,1920 x 1080,60,,IPS,16:9,329.00
Philips,271B8QJEB,27.0,1920 x 1080,60,5,IPS,16:9,237.99
ViewSonic,VG2439SMH,23.6,1920 x 1080,60,7,IPS,16:9,169.99
Acer,B226WLymdr,22.0,1680 x 1050,60,5,TN,16:10,150.31
AOC,E2275SWJ,21.5,1920 x 1080,,1,TN,16:9,
Dell,S2718D,27.0,2560 x 1440,60,6,IPS,16:9,709.94
Acer,V246HQL Cbi,23.6,1920 x 1080,60,5,TN,16:9,122.99
NEC,AS19Mi-BK,19.0,1280 x 1024,60,6,IPS,5:4,167.99
AOC,AGON PD27,27.0,2560 x 1440,240,,VA,16:9,
HP,LA1951G,19.0,1280 x 1024,,5,,5:4,199.00
Dell,U3014,30.0,2560 x 1600,60,6,IPS,16:10,
NEC,EA294WMi-BK,29.0,2560 x 1080,60,6,IPS,21:9,1000.00
HP,Z24i,24.0,1920 x 1080,60,8,IPS,16:9,
HP,T3M70AA#ABA,21.5,1920 x 1080,60,7,IPS,16:9,208.99
iiyama,B2783QSU-B1,27.0,2560 x 1440,70,1,TN,16:9,
